cust_id,cust_firstname,cust_lastname
1,Krisna,Pandit
2,Ganeshan,Tiwari
3,Bharu,Srivastav
4,Nagamani,Rao
5,Saranya,Rajput
6,संजय,कुमार Rajput
7,Krishna,Yadav Pratap
8,Anandh,Srivastav
9,Kheem,Thakur
10,Paramita,Divedi
11,Siddhi,Mishra
12,Kalia,Pandey
13,Hansha,Vishwakarma
14,Lovely,Kumari
15,Anky,Vishwakarma
16,Ramandeep,Singh
17,Sonm,Divedi
18,Noorain,Kumari
19,Neet,Vishwakarma
20,Benazir,Mishra
21,Shefali,Tiwari
22,Nishi,Kumari
23,Rajasekaran,Mishra
24,Anjli,Yadav
25,Binesh,Thakur
26,Dharmendar,Kumar Vishwakarma
27,Chandrasinh,Tiwari
28,Raftar,Rai
29,Nazakat,Pandey
30,Harita,Vishwakarma
31,Kaberi,Pandit
32,गोकुळ,Mishra
33,Raja,Babu Singh
34,Asab,Tiwari
35,Barkat,Gupta
36,Nayantara,Divedi
37,Gopi,Krishna Pratap
38,Mohanta,Yadav
39,Shresth,Rao
40,Sathibabu,Kumar
41,Adrika,Pandey
42,Noren,Maurya
43,Sonu,Saini Seth
44,महेश,Thakur
45,Manku,Mishra
46,Gowda,Maurrya
47,Vasundhra,Maurrya
48,Nepali,Maurrya
49,Ranesh,Pandey
50,Manat,Maurrya
51,Nevil,Sonkar
52,Shiya,Rajput
53,Abhaya,Pandit
54,Ashmi,Rao
55,Padmanava,Mishra
56,Aaraadhana,Vishwakarma
57,Shakir,Divedi
58,Digpal,Pratap
59,Gupteshwar,Rao
60,Foolwati,Rao
61,Chanda,Sonkar
62,Prapti,Gupta
63,Gayatri,Gupta
64,Gazala,Tiwari
65,Rithu,Sonkar
66,Anash,Maurrya
67,Serajul,Gupta
68,Shiv,Narayan Kumar
69,Deka,Divedi
70,Eshvar,Thakur
71,Gazala,Rai
72,Puii,Sonkar
73,Helly,Rai
74,Braj,Kishor Vishwakarma
75,Lipa,Yadav
76,Kushagra,Maurya
77,Nishitha,Rao
78,Mounika,Devi
79,Abhay,Raj Pratap
