staff_id,first_name,last_name,position,hourly_rate
1,Devnarayan,Rai,Waiter,762.59
2,Chitranjan,Singh,Cleaner,715.04
3,Mala,Thakur,Cleaner,789.83
4,Aien,Kumari,Chef,208.23
5,à?…à??à¥Åà??,Pandey,Cleaner,434.4
6,Ramchandar,Rao,Chef,134.64
7,Sravani,Rajput,Cleaner,795.94
8,Torun,Tiwari,Manager,477.43
9,Nipen,Yadav,Cleaner,234.9
10,Chhote,Singh,Cleaner,462.3
11,Ritul,Tiwari,Manager,496.26
12,Gavit,Pratap,Chef,122.91
13,Shivalinga,Thakur,Waiter,379.13
14,à?®à?¿à?¥à¥Åà?¨,Kumar,Chef,661.72
15,Aazam,Sonkar,Cleaner,275.4
16,Hemanth,Maurya,Manager,289.77
17,Chamanlal,Thakur,Chef,499.03
18,Shakar,Kumari,Cleaner,245.08
19,Kalyan,Srivastav,Waiter,496.03
20,Kanzariya,Kumar,Cleaner,530.64
21,Shivalinga,Rao,Chef,640.82
22,Mathivanan,Rajput,Chef,515.71
23,Shuruti,Tiwari,Manager,183.44
24,Kusam,Thakur,Chef,333.21
25,Sravanthi,Seth,Manager,620.97
26,Rosidul,Chandra,Cleaner,494.24
27,Pankaja,Kumar,Cleaner,365.51
28,Ulhas,Thakur,Waiter,723.99
29,Asifkhan,Raj,Cleaner,527.75
30,Bimal,Rao,Waiter,530.98
31,Bhaanu,Rajput,Chef,756.83
32,Bidhan,Rai,Manager,264.33
33,Gajendran,Kumar,Chef,272.85
34,Aamit,Rai,Waiter,382.7
35,Mangal,Seth,Manager,623.9
36,Balappa,Srivastav,Waiter,534.47
37,Kapu,Gupta,Cleaner,717.2
38,Thabira,Pandey,Waiter,797.72
39,Suruti,Thakur,Manager,284.98
40,Udhav,Srivastav,Manager,319.4
41,Amruth,Vishwakarma,Chef,669.09
42,Lingala,Boy,Cleaner,581.83
43,Altap,Thakur,Chef,397.31
44,Dhaval,Vishwakarma,Manager,121.21
45,Lingappa,Singh,Manager,793.51
46,Tikendra,Vishwakarma,Waiter,713.63
47,Harnam,Pandey,Cleaner,225.03
48,Durga,Maurya,Waiter,318.65
49,Damru,Seth,Chef,335
50,Ankush,Tiwari,Manager,735.72
51,Tejpratap,Srivastav,Chef,473.96
52,Masrat,Tiwari,Waiter,430.02
53,Yatin,Sonkar,Manager,118.45
54,Shallu,Mahboob,Manager,124.27
55,Vishanu,Srivastav,Manager,740.87
56,Kamana,Tiwari,Cleaner,720.35
57,Darshika,Yadav,Cleaner,260.72
58,Nooruddin,Vishwakarma,Waiter,477.42
59,Duraisamy,Gupta,Cleaner,662.71
60,Shrutika,Mishra,Manager,580.63
61,Manprit,Rao,Cleaner,108.85
62,Ganie,Singh,Waiter,272.06
63,Bhooshan,Pandey,Waiter,517.42
64,Mausham,Pandit,Manager,192.04
65,Ajmal,Seth,Waiter,490.7
66,Alop,Sonkar,Chef,281.21
67,Srujana,Sonkar,Cleaner,533.84
68,Raj,Mishra,Chef,543.67
69,Partha,Sonkar,Manager,192.09
70,Nasiruddin,Devi,Manager,568.48
71,Rambriksh,Sonkar,Chef,188.18
72,Keshava,Rajput,Manager,348.92
73,Madhusoodan,Thakur,Chef,100.46
74,Satha,Kumar,Chef,394.84
75,Meher,Kumar,Chef,221.93
76,Reeya,Tiwari,Manager,641.86
77,Moinuddin,Vishwakarma,Cleaner,601.3
78,Iyappan,Sonkar,Manager,395.01
79,Charu,Rao,Waiter,796.39
80,Srujana,Thakur,Chef,344.9
81,Sagar,Singh,Chef,373.3
82,Pradipkumar,Singh,Manager,736.42
83,Arjuna,Maurya,Waiter,378.35
84,Gitali,Tiwari,Chef,407.26
85,Shahnaz,Maurya,Chef,224.17
86,India,Kumar,Manager,541.02
87,Pradeepta,Seth,Chef,324.83
88,Hobibur,Vishwakarma,Cleaner,386.06
89,Maraj,Yadav,Manager,586.07
90,à?¨à¥‡à??à??,Rao,Waiter,361.32
91,Guhan,Yadav,Waiter,731.36
92,Hemangini,Pratap,Chef,104.79
93,Chimayi,Vishwakarma,Cleaner,650.43
94,Vasantha,Rajput,Manager,506.56
95,à??à¥Œà?§à?°à¥€,Mishra,Manager,125.93
96,Abinesh,Kumar,Waiter,604.33
97,Dadul,Adil,Waiter,759.06
98,Abhii,Pandey,Chef,209.95
99,Dharmendu,Tiwari,Manager,103.1
100,Swapan,Divedi,Cleaner,355.69
