add_id,delivery_address1,delivery_address2,delivery_city,delivery_zipcode
1,H.No. 056,"97/291
Kakar Marg",Navi Mumbai,013001
2,H.No. 097,"53/175, Sridhar Marg",Navi Mumbai,238274
3,H.No. 81,"97/928, Bhakta Road",Thane,209922
4,91/820,"32/46, Bhardwaj Path",Bandra,483239
5,H.No. 225,"89/40
Devi Marg",Bandra,001916
6,90,"H.No. 360
Deol Street",Thane,394389
7,H.No. 599,"H.No. 16, Bahl Marg",Mumbai,082536
8,H.No. 314,"77
Halder Marg",Thane,895680
9,53,"123, Vaidya Chowk",Thane,535230
10,H.No. 50,"20/531, Singh Path",Thane,707330
11,H.No. 670,"40, Bhagat Chowk",Thane,490081
12,55/166,"90, Thakkar Path",Thane,896151
13,H.No. 000,"217, Banik Circle",Bandra,232420
14,030,"99
Dyal Chowk",Thane,243923
15,H.No. 399,"H.No. 02, Shankar Road",Andheri,476970
16,H.No. 742,"78
Dave Street",Mumbai,393266
17,H.No. 492,"51/768, Ranganathan Circle",Mumbai,121114
18,15,"H.No. 741, Behl Zila",Bandra,637280
19,97,"961
Kibe Marg",Andheri,368231
20,H.No. 491,"H.No. 10
Reddy Road",Andheri,669574
21,935,"182
Karnik Chowk",Navi Mumbai,324349
22,80,"H.No. 196
Mittal Road",Thane,463742
23,275,"17/58, Badami Ganj",Andheri,653300
24,52/102,"272
Banerjee Marg",Bandra,467130
25,42/561,"H.No. 035
Tata",Navi Mumbai,056936
26,H.No. 64,"02/42
Arora Street",Thane,951394
27,H.No. 450,"65
Patel Zila",Thane,314219
28,H.No. 644,"14/01
Aurora Zila",Mumbai,803421
29,29/97,"H.No. 215
Chanda Chowk",Mumbai,857176
30,337,"95/96, Mahajan Street",Mumbai,823130
31,80/170,"55/437, Raja Chowk",Andheri,837922
32,95/48,"72/48, Krishnan Path",Navi Mumbai,054944
33,H.No. 799,"H.No. 41
Pingle Street",Andheri,835057
34,31/95,"131, Sharma Marg",Bandra,008440
35,36/415,"22/659, Raj Ganj",Andheri,495296
36,H.No. 61,"75/690
Chandran",Andheri,254173
37,90/602,"44/72
Gupta Chowk",Thane,979528
38,69/87,"37/96
Mistry Street",Thane,406757
39,94,"01/980, Borde Nagar",Andheri,771097
40,749,"257, Dutta Nagar",Bandra,906273
41,12,"74
Tank Path",Bandra,263457
42,51,"04
Basu Ganj",Andheri,602068
43,31/79,"41, Kibe Street",Andheri,124310
44,H.No. 566,"10/973, Mishra Nagar",Mumbai,783940
45,72/29,"H.No. 89, Setty Zila",Bandra,355607
46,H.No. 09,"H.No. 477, Zacharia Ganj",Thane,468686
47,18,"305
Mangat",Andheri,659665
48,05/46,"H.No. 27
Bawa Path",Thane,734362
49,42/15,"H.No. 421
Sani Road",Andheri,367884
50,H.No. 754,"74/63
Yohannan Zila",Mumbai,995842
51,70/42,"77, Chandra Street",Andheri,598611
52,H.No. 181,"51
Varughese Ganj",Andheri,776957
