Customer_ID,Customer_Name,Contact_Number,Email,City,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Years,Application_Date,Approval_Date,Disbursement_Date,Repayment_Status,Remarks
1,Najima Yadav,2286082759,hayrehemangini@example.org,Mango,Commercial Vehicle Loan,257000,10.5,4,2022-10-17,2022-10-26,2022-11-01,Closed,
2,Suram Srivastav,9105095532,koshyekavir@example.org,Bathinda,Gold Loan,226000,9.0,3,2024-01-29,2024-02-11,2024-02-13,Overdue,Sent reminder notice
3,Raj Khan Singh,+910031675262,hbali@example.org,Ludhiana,Personal Loan,855000,14.0,4,2023-10-10,2023-10-12,2023-10-14,Overdue,Missed last payment
4,Kaviya Srivastav,02530067863,ira19@example.org,Bihar Sharif,Commercial Vehicle Loan,744000,10.5,4,2024-04-12,2024-04-18,2024-04-22,Current,
5,Lalla Divedi,+918795979341,ekaja18@example.net,Alappuzha,Small Business Loan,429000,12.0,1,2021-11-04,2021-11-14,2021-11-17,Closed,
6,Marimuthu Sonkar,+919540437503,xagarwal@example.org,Mathura,Small Business Loan,261000,12.0,4,2022-08-03,2022-08-12,2022-08-14,Current,
7,Rajlakshmi Srivastav,+910029349164,kapadiazashil@example.org,Ghaziabad,Small Business Loan,708000,12.0,1,2023-07-10,2023-07-20,2023-07-22,Current,
8,Kuheli Kumari,06537821368,charlespathak@example.com,Srinagar,Small Business Loan,581000,12.0,2,2024-04-08,2024-04-16,2024-04-20,Closed,
9,Subhash Kumar Tiwari,2663653485,rajeshrinarayanan@example.com,Naihati,Gold Loan,642000,9.0,2,2023-05-28,2023-06-05,2023-06-09,Current,
10,Jinat Yadav,+910738152622,udarsh33@example.net,Tumkur,Commercial Vehicle Loan,776000,10.5,2,2023-12-24,2024-01-04,2024-01-05,Closed,
11,Sudevi Sonkar,06697334512,daskala@example.com,Shivpuri,Gold Loan,111000,9.0,2,2023-08-30,2023-09-06,2023-09-11,Current,
12,Mahadevi Mishra,01154667988,rchandran@example.org,Imphal,Small Business Loan,225000,12.0,5,2022-05-03,2022-05-15,2022-05-15,Current,
13,Mamina Srivastav,+918273474617,abhapurohit@example.org,Sikar,Commercial Vehicle Loan,970000,10.5,1,2020-05-08,2020-05-12,2020-05-17,Closed,
14,Mamon Gupta,06247087784,rattankritika@example.org,Haridwar,Small Business Loan,210000,12.0,1,2023-10-09,2023-10-19,2023-10-22,Overdue,Account under review
15,Shiny Rao,8752029730,anay74@example.org,Durgapur,Gold Loan,471000,9.0,4,2023-05-15,2023-05-15,2023-05-15,Overdue,Account under review
16,Girik Yadav,+912152653568,ronith50@example.org,Ballia,Small Business Loan,432000,12.0,4,2023-04-27,2023-05-10,2023-05-14,Closed,
17,Maanvi Vishwakarma,06861181754,emitter@example.com,Korba,Gold Loan,891000,9.0,3,2020-01-26,2020-01-26,2020-01-27,Closed,
18,Srinidhi Mishra,00127505062,calebpalla@example.com,Durgapur,Commercial Vehicle Loan,979000,10.5,1,2021-09-06,2021-09-09,2021-09-12,Current,
19,Md Aslam Sonkar,+917854841331,henrysrinivasan@example.net,Kollam,Commercial Vehicle Loan,285000,10.5,2,2022-10-09,2022-10-15,2022-10-17,Closed,
20,Anusree Tiwari,9576513467,balanchristopher@example.net,Bathinda,Gold Loan,873000,9.0,4,2021-08-17,2021-08-28,2021-08-29,Closed,
21,Rafiya Divedi,3722766457,rauqabil@example.org,Motihari,Personal Loan,397000,14.0,5,2021-03-25,2021-04-08,2021-04-08,Current,
22,Vimal Kumar Sonkar,1105868260,zinalchar@example.net,Shimoga,Gold Loan,665000,9.0,2,2024-09-26,2024-10-04,2024-10-07,Overdue,Account under review
23,Rajarshi Maurrya,+915036737866,sastrycharvi@example.org,Aizawl,Small Business Loan,313000,12.0,4,2024-08-17,2024-08-24,2024-08-29,Overdue,Sent reminder notice
24,Mauli Rajput,3306142749,maniijaya@example.com,Patna,Small Business Loan,180000,12.0,2,2024-07-29,2024-07-29,2024-08-03,Current,
25,Reegan Mishra,+914078567833,vvala@example.net,Barasat,Commercial Vehicle Loan,887000,10.5,5,2021-01-19,2021-01-23,2021-01-27,Closed,
26,Kuki Vishwakarma,+916580156916,max33@example.com,Bhilai,Personal Loan,638000,14.0,5,2022-01-17,2022-01-18,2022-01-23,Overdue,Account under review
27,Rutika Devi,09814634733,nagarajannihal@example.com,Vadodara,Gold Loan,190000,9.0,4,2023-12-04,2023-12-11,2023-12-12,Current,
